s0;s1;s2;s3;s4
4102;3935;3653;3810;4142;
4127;3961;3729;3825;4169;
4127;3961;3729;3825;4169;
4127;3961;3729;3825;4169;
4285;4157;3900;3993;4353;
4285;4157;3900;3993;4353;
4285;4157;3900;3993;4353;
4240;4107;3789;3958;4295;
4240;4107;3789;3958;4295;
4240;4107;3789;3958;4295;
4102;3934;3653;3811;4144;
4102;3934;3653;3811;4144;
4106;3931;3708;3804;4150;
4106;3931;3708;3804;4150;
4106;3931;3708;3804;4150;
4277;4146;3899;3983;4342;
4277;4146;3899;3983;4342;
4277;4146;3899;3983;4342;
4259;4119;3805;3967;4308;
4259;4119;3805;3967;4308;
4116;3954;3654;3823;4160;
4116;3954;3654;3823;4160;
4116;3954;3654;3823;4160;
4080;3908;3673;3779;4130;
4080;3908;3673;3779;4130;
4080;3908;3673;3779;4130;
4259;4120;3884;3958;4318;
4259;4120;3884;3958;4318;
4267;4139;3837;3983;4326;
4267;4139;3837;3983;4326;
4267;4139;3837;3983;4326;
4125;3967;3666;3832;4172;
4125;3967;3666;3832;4172;
4125;3967;3666;3832;4172;
4063;3886;3652;3769;4107;
4063;3886;3652;3769;4107;
4063;3886;3652;3769;4107;
4244;4102;3867;3942;4299;
4244;4102;3867;3942;4299;
4281;4151;3848;3993;4346;
4281;4151;3848;3993;4346;
4281;4151;3848;3993;4346;
4138;3982;3681;3848;4183;
4138;3982;3681;3848;4183;
4138;3982;3681;3848;4183;
4063;3893;3640;3766;4107;
4063;3893;3640;3766;4107;
4226;4074;3842;3920;4276;
4226;4074;3842;3920;4276;
4226;4074;3842;3920;4276;
4288;4167;3866;3996;4354;
4288;4167;3866;3996;4354;
4288;4167;3866;3996;4354;
4157;4011;3694;3873;4209;
4157;4011;3694;3873;4209;
4157;4011;3694;3873;4209;
4076;3904;3651;3779;4114;
4076;3904;3651;3779;4114;
4192;4035;3812;3889;4243;
4192;4035;3812;3889;4243;
4192;4035;3812;3889;4243;
4297;4171;3883;4010;4361;
4297;4171;3883;4010;4361;
4297;4171;3883;4010;4361;
4188;4037;3719;3896;4232;
4188;4037;3719;3896;4232;
4078;3907;3646;3779;4123;
4078;3907;3646;3779;4123;
4078;3907;3646;3779;4123;
4168;4006;3777;3869;4215;
4168;4006;3777;3869;4215;
4168;4006;3777;3869;4215;
4293;4166;3902;4008;4362;
4293;4166;3902;4008;4362;
4293;4166;3902;4008;4362;
4207;4064;3743;3923;4259;
4207;4064;3743;3923;4259;
4091;3922;3647;3796;4136;
4091;3922;3647;3796;4136;
