Sensor,Value
s0,4124
s1,3999
s2,3835
s3,3957
s4,4219
s0,4152
s1,4034
s2,3840
s3,3971
s4,4248
s0,4152
s1,4034
s2,3840
s3,3971
s4,4248
s0,3943
s1,3788
s2,3664
s3,3814
s4,4044
s0,3943
s1,3788
s2,3664
s3,3814
s4,4044
s0,3943
s1,3788
s2,3664
s3,3814
s4,4044
s0,4070
s1,3932
s2,3812
s3,3916
s4,4174
s0,4070
s1,3932
s2,3812
s3,3916
s4,4174
s0,4125
s1,3993
s2,3838
s3,3951
s4,4215
s0,4125
s1,3993
s2,3838
s3,3951
s4,4215
s0,4125
s1,3993
s2,3838
s3,3951
s4,4215
s0,4141
s1,4031
s2,3834
s3,3973
s4,4234
s0,4141
s1,4031
s2,3834
s3,3973
s4,4234
s0,3935
s1,3788
s2,3652
s3,3815
s4,4040
s0,3935
s1,3788
s2,3652
s3,3815
s4,4040
s0,3935
s1,3788
s2,3652
s3,3815
s4,4040
s0,4058
s1,3911
s2,3791
s3,3902
s4,4160
s0,4058
s1,3911
s2,3791
s3,3902
s4,4160
s0,4058
s1,3911
s2,3791
s3,3902
s4,4160
s0,4113
s1,3984
s2,3839
s3,3953
s4,4207
s0,4113
s1,3984
s2,3839
s3,3953
s4,4207
s0,4135
s1,4017
s2,3837
s3,3966
s4,4223
s0,4135
s1,4017
s2,3837
s3,3966
s4,4223
s0,4135
s1,4017
s2,3837
s3,3966
s4,4223
s0,3939
s1,3786
s2,3644
s3,3810
s4,4035
s0,3939
s1,3786
s2,3644
s3,3810
s4,4035
s0,3939
s1,3786
s2,3644
s3,3810
s4,4035
s0,4040
s1,3884
s2,3773
s3,3889
s4,4143
s0,4040
s1,3884
s2,3773
s3,3889
s4,4143
s0,4108
s1,3980
s2,3830
s3,3943
s4,4209
s0,4108
s1,3980
s2,3830
s3,3943
s4,4209
s0,4108
s1,3980
s2,3830
s3,3943
s4,4209
s0,4142
s1,4020
s2,3843
s3,3969
s4,4237
s0,4142
s1,4020
s2,3843
s3,3969
s4,4237
s0,4142
s1,4020
s2,3843
s3,3969
s4,4237
s0,3954
s1,3812
s2,3646
s3,3823
s4,4045
s0,3954
s1,3812
s2,3646
s3,3823
s4,4045
s0,4014
s1,3864
s2,3751
s3,3872
s4,4118
s0,4014
s1,3864
s2,3751
s3,3872
s4,4118
s0,4014
s1,3864
s2,3751
s3,3872
s4,4118
s0,4107
s1,3972
s2,3831
s3,3943
s4,4203
s0,4107
s1,3972
s2,3831
s3,3943
s4,4203
s0,4132
s1,4000
s2,3836
s3,3962
s4,4223
s0,4132
s1,4000
s2,3836
s3,3962
s4,4223
s0,4132
s1,4000
s2,3836
s3,3962
s4,4223
s0,3976
s1,3841
s2,3658
s3,3837
s4,4069
s0,3976
s1,3841
s2,3658
s3,3837
s4,4069
s0,3976
s1,3841
s2,3658
s3,3837
s4,4069
s0,3987
s1,3832
s2,3718
s3,3854
s4,4096
s0,3987
s1,3832
s2,3718
s3,3854
s4,4096
s0,4095
s1,3960
s2,3832
s3,3930
s4,4195
s0,4095
s1,3960
s2,3832
s3,3930
s4,4195
s0,4132
s1,4003
s2,3835
s3,3957
s4,4225
s0,4132
s1,4003
s2,3835
s3,3957
s4,4225
s0,4004
s1,3868
s2,3686
s3,3859
s4,4089
s0,4004
s1,3868
s2,3686
s3,3859
s4,4089
s0,4004
s1,3868
s2,3686
s3,3859
s4,4089
s0,3979
s1,3818
s2,3702
s3,3841
s4,4073
s0,3979
s1,3818
s2,3702
s3,3841
s4,4073
s0,4089
s1,3950
s2,3830
s3,3932
s4,4194
s0,4089
s1,3950
s2,3830
s3,3932
s4,4194
s0,4089
s1,3950
s2,3830
s3,3932
s4,4194
s0,4123
s1,4000
s2,3834
s3,3953
s4,4217
s0,4123
s1,4000
s2,3834
s3,3953
s4,4217
s0,4123
s1,4000
s2,3834
s3,3953
s4,4217
s0,4146
s1,4033
s2,3837
s3,3977
s4,4236
s0,4146
s1,4033
s2,3837
s3,3977
s4,4236
s0,3955
s1,3802
s2,3681
s3,3828
s4,4058
s0,3955
s1,3802
s2,3681
s3,3828
s4,4058
s0,3955
s1,3802
s2,3681
s3,3828
s4,4058
s0,4080
s1,3942
s2,3817
s3,3925
s4,4183
s0,4080
s1,3942
s2,3817
s3,3925
s4,4183
s0,4080
s1,3942
s2,3817
s3,3925
s4,4183
s0,4121
s1,3996
s2,3835
s3,3954
s4,4218
s0,4121
s1,3996
s2,3835
s3,3954
s4,4218
s0,4152
s1,4029
s2,3834
s3,3969
s4,4230
s0,4152
s1,4029
s2,3834
s3,3969
s4,4230
s0,4152
s1,4029
s2,3834
s3,3969
s4,4230
s0,3936
s1,3786
s2,3657
s3,3810
s4,4032
s0,3936
s1,3786
s2,3657
s3,3810
s4,4032
s0,3936
s1,3786
s2,3657
s3,3810
s4,4032
s0,4065
s1,3927
s2,3801
s3,3913
s4,4167
s0,4065
s1,3927
s2,3801
s3,3913
s4,4167
s0,4065
s1,3927
s2,3801
s3,3913
s4,4167
s0,4110
s1,3984
s2,3830
s3,3951
s4,4214
s0,4110
s1,3984
s2,3830
s3,3951
s4,4214
s0,4142
s1,4022
s2,3841
s3,3969
s4,4232
s0,4142
s1,4022
s2,3841
s3,3969
s4,4232
s0,3937
s1,3782
s2,3639
s3,3807
s4,4026
s0,3937
s1,3782
s2,3639
s3,3807
s4,4026
s0,4039
s1,3895
s2,3785
s3,3890
s4,4143
s0,4039
s1,3895
s2,3785
s3,3890
s4,4143
s0,4110
s1,3981
s2,3836
s3,3948
s4,4214
s0,4110
s1,3981
s2,3836
s3,3948
s4,4214
s0,4110
s1,3981
s2,3836
s3,3948
s4,4214
s0,4136
s1,4019
s2,3834
s3,3962
s4,4237
s0,4136
s1,4019
s2,3834
s3,3962
s4,4237
s0,4136
s1,4019
s2,3834
s3,3962
s4,4237
s0,3948
s1,3797
s2,3650
s3,3813
s4,4037
s0,3948
s1,3797
s2,3650
s3,3813
s4,4037
s0,4025
s1,3871
s2,3760
s3,3874
s4,4120
s0,4025
s1,3871
s2,3760
s3,3874
s4,4120
s0,4025
s1,3871
s2,3760
s3,3874
s4,4120
s0,4098
s1,3966
s2,3833
s3,3943
s4,4206
s0,4098
s1,3966
s2,3833
s3,3943
s4,4206
s0,4098
s1,3966
s2,3833
s3,3943
s4,4206
s0,4133
s1,4015
s2,3836
s3,3965
s4,4227
s0,4133
s1,4015
s2,3836
s3,3965
s4,4227
s0,3967
s1,3821
s2,3658
s3,3829
s4,4059
s0,3967
s1,3821
s2,3658
s3,3829
s4,4059
s0,3967
s1,3821
s2,3658
s3,3829
s4,4059
s0,4003
s1,3846
s2,3736
s3,3867
s4,4107
s0,4003
s1,3846
s2,3736
s3,3867
s4,4107
s0,4104
s1,3962
s2,3835
s3,3932
s4,4204
s0,4104
s1,3962
s2,3835
s3,3932
s4,4204
s0,4104
s1,3962
s2,3835
s3,3932
s4,4204
s0,4136
s1,4016
s2,3836
s3,3965
s4,4224
s0,4136
s1,4016
s2,3836
s3,3965
s4,4224
s0,3973
s1,3844
s2,3667
s3,3847
s4,4075
s0,3973
s1,3844
s2,3667
s3,3847
s4,4075
s0,3973
s1,3844
s2,3667
s3,3847
s4,4075
s0,3986
s1,3829
s2,3715
s3,3850
s4,4086
s0,3986
s1,3829
s2,3715
s3,3850
s4,4086
s0,3986
s1,3829
s2,3715
s3,3850
s4,4086
s0,4091
s1,3953
s2,3822
s3,3932
s4,4194
s0,4091
s1,3953
s2,3822
s3,3932
s4,4194
s0,4124
s1,4003
s2,3831
s3,3960
s4,4218
s0,4124
s1,4003
s2,3831
s3,3960
s4,4218
s0,4124
s1,4003
s2,3831
s3,3960
s4,4218
s0,4065
s1,3959
s2,3817
s3,3931
s4,4143
s0,4065
s1,3959
s2,3817
s3,3931
s4,4143
s0,4065
s1,3959
s2,3817
s3,3931
s4,4143
s0,3969
s1,3814
s2,3696
s3,3832
s4,4073
s0,3969
s1,3814
s2,3696
s3,3832
s4,4073
s0,4089
s1,3948
s2,3816
s3,3925
s4,4184
s0,4089
s1,3948
s2,3816
s3,3925
s4,4184
s0,4089
s1,3948
s2,3816
s3,3925
s4,4184
s0,4119
s1,4000
s2,3839
s3,3959
s4,4215
s0,4119
s1,4000
s2,3839
s3,3959
s4,4215
s0,4150
s1,4033
s2,3838
s3,3975
s4,4234
s0,4150
s1,4033
s2,3838
s3,3975
s4,4234
s0,4150
s1,4033
s2,3838
s3,3975
s4,4234
s0,3946
s1,3794
s2,3666
s3,3816
s4,4044
s0,3946
s1,3794
s2,3666
s3,3816
s4,4044
s0,3946
s1,3794
s2,3666
s3,3816
s4,4044
s0,4067
s1,3938
s2,3809
s3,3921
s4,4176
s0,4067
s1,3938
s2,3809
s3,3921
s4,4176
s0,4116
s1,3987
s2,3829
s3,3947
s4,4215
s0,4116
s1,3987
s2,3829
s3,3947
s4,4215
s0,4116
s1,3987
s2,3829
s3,3947
s4,4215
s0,4143
s1,4029
s2,3839
s3,3972
s4,4233
s0,4143
s1,4029
s2,3839
s3,3972
s4,4233
s0,4143
s1,4029
s2,3839
s3,3972
s4,4233
s0,3933
s1,3779
s2,3649
s3,3809
s4,4030
s0,3933
s1,3779
s2,3649
s3,3809
s4,4030
s0,4055
s1,3914
s2,3789
s3,3907
s4,4162
s0,4055
s1,3914
s2,3789
s3,3907
s4,4162
s0,4055
s1,3914
s2,3789
s3,3907
s4,4162
s0,4119
s1,3979
s2,3836
s3,3946
s4,4209
s0,4119
s1,3979
s2,3836
s3,3946
s4,4209
s0,4119
s1,3979
s2,3836
s3,3946
s4,4209
s0,4146
s1,4023
s2,3835
s3,3965
s4,4228
s0,4146
s1,4023
s2,3835
s3,3965
s4,4228
s0,4146
s1,4023
s2,3835
s3,3965
s4,4228
s0,3935
s1,3782
s2,3640
s3,3804
s4,4029
s0,3935
s1,3782
s2,3640
s3,3804
s4,4029
s0,4041
s1,3895
s2,3788
s3,3889
s4,4149
s0,4041
s1,3895
s2,3788
s3,3889
s4,4149
s0,4041
s1,3895
s2,3788
s3,3889
s4,4149
s0,4119
s1,3991
s2,3835
s3,3953
s4,4211
s0,4119
s1,3991
s2,3835
s3,3953
s4,4211
s0,4119
s1,3991
s2,3835
s3,3953
s4,4211
s0,4140
s1,4019
s2,3835
s3,3969
s4,4228
s0,4140
s1,4019
s2,3835
s3,3969
s4,4228
s0,3945
s1,3806
s2,3649
s3,3817
s4,4047
s0,3945
s1,3806
s2,3649
s3,3817
s4,4047
s0,3945
s1,3806
s2,3649
s3,3817
s4,4047
s0,4023
s1,3877
s2,3759
s3,3873
s4,4123
s0,4023
s1,3877
s2,3759
s3,3873
s4,4123
s0,4023
s1,3877
s2,3759
s3,3873
s4,4123
s0,4110
s1,3967
s2,3831
s3,3938
s4,4203
s0,4110
s1,3967
s2,3831
s3,3938
s4,4203
s0,4125
s1,4019
s2,3834
s3,3965
s4,4225
s0,4125
s1,4019
s2,3834
s3,3965
s4,4225
s0,4125
s1,4019
s2,3834
s3,3965
s4,4225
s0,3968
s1,3825
s2,3656
s3,3830
s4,4060
s0,3968
s1,3825
s2,3656
s3,3830
s4,4060
s0,3968
s1,3825
s2,3656
s3,3830
s4,4060
s0,3999
s1,3852
s2,3734
s3,3864
s4,4106
s0,3999
s1,3852
s2,3734
s3,3864
s4,4106
s0,4099
s1,3967
s2,3824
s3,3937
s4,4197
s0,4099
s1,3967
s2,3824
s3,3937
s4,4197
s0,4099
s1,3967
s2,3824
s3,3937
s4,4197
s0,4125
s1,4005
s2,3841
s3,3958
s4,4222
s0,4125
s1,4005
s2,3841
s3,3958
s4,4222
s0,4125
s1,4005
s2,3841
s3,3958
s4,4222
s0,3982
s1,3845
s2,3669
s3,3844
s4,4076
s0,3982
s1,3845
s2,3669
s3,3844
s4,4076
s0,3979
s1,3830
s2,3715
s3,3844
s4,4085
s0,3979
s1,3830
s2,3715
s3,3844
s4,4085
s0,3979
s1,3830
s2,3715
s3,3844
s4,4085
s0,4097
s1,3959
s2,3830
s3,3936
s4,4199
s0,4097
s1,3959
s2,3830
s3,3936
s4,4199
s0,4097
s1,3959
s2,3830
s3,3936
s4,4199
s0,4123
s1,4001
s2,3824
s3,3954
s4,4215
s0,4123
s1,4001
s2,3824
s3,3954
s4,4215
s0,4134
s1,4030
s2,3833
s3,3978
s4,4203
s0,4134
s1,4030
s2,3833
s3,3978
s4,4203
s0,4134
s1,4030
s2,3833
s3,3978
s4,4203
s0,3960
s1,3810
s2,3697
s3,3836
s4,4065
s0,3960
s1,3810
s2,3697
s3,3836
s4,4065
s0,3960
s1,3810
s2,3697
s3,3836
s4,4065
s0,4076
s1,3947
s2,3821
s3,3925
s4,4181
s0,4076
s1,3947
s2,3821
s3,3925
s4,4181
s0,4125
s1,3993
s2,3838
s3,3955
s4,4218
s0,4125
s1,3993
s2,3838
s3,3955
s4,4218
s0,4125
s1,3993
s2,3838
s3,3955
s4,4218
s0,4151
s1,4038
s2,3833
s3,3970
s4,4231
s0,4151
s1,4038
s2,3833
s3,3970
s4,4231
s0,4151
s1,4038
s2,3833
s3,3970
s4,4231
s0,3947
