s0;s1;s2;s3;s4
1994;3369;3759;3160;2433;
1994;3369;3759;3160;2433;
2091;3476;3867;3256;2534;
2091;3476;3867;3256;2534;
2091;3476;3867;3256;2534;
2009;3381;3769;3171;2447;
2009;3381;3769;3171;2447;
2009;3381;3769;3171;2447;
1907;3272;3663;3091;2345;
1907;3272;3663;3091;2345;
1935;3316;3718;3117;2385;
1935;3316;3718;3117;2385;
1935;3316;3718;3117;2385;
2086;3470;3863;3237;2526;
2086;3470;3863;3237;2526;
2086;3470;3863;3237;2526;
2048;3426;3815;3203;2489;
2048;3426;3815;3203;2489;
2048;3426;3815;3203;2489;
1918;3283;3667;3091;2353;
1918;3283;3667;3091;2353;
1906;3274;3669;3083;2345;
1906;3274;3669;3083;2345;
1906;3274;3669;3083;2345;
2056;3448;3839;3231;2503;
2056;3448;3839;3231;2503;
2056;3448;3839;3231;2503;
2071;3455;3840;3226;2514;
2071;3455;3840;3226;2514;
1943;3313;3695;3112;2380;
1943;3313;3695;3112;2380;
1943;3313;3695;3112;2380;
1904;3265;3666;3078;2340;
1904;3265;3666;3078;2340;
1904;3265;3666;3078;2340;
2016;3400;3792;3189;2458;
2016;3400;3792;3189;2458;
2016;3400;3792;3189;2458;
2083;3479;3873;3247;2533;
2083;3479;3873;3247;2533;
1984;3353;3736;3146;2417;
1984;3353;3736;3146;2417;
1984;3353;3736;3146;2417;
1897;3268;3665;3081;2341;
1897;3268;3665;3081;2341;
1897;3268;3665;3081;2341;
1978;3349;3738;3142;2415;
1978;3349;3738;3142;2415;
2087;3485;3871;3251;2533;
2087;3485;3871;3251;2533;
2087;3485;3871;3251;2533;
2029;3399;3785;3179;2467;
2029;3399;3785;3179;2467;
2029;3399;3785;3179;2467;
1906;3275;3664;3086;2344;
1906;3275;3664;3086;2344;
1906;3275;3664;3086;2344;
1928;3297;3685;3104;2368;
1928;3297;3685;3104;2368;
2079;3468;3854;3236;2522;
2079;3468;3854;3236;2522;
2079;3468;3854;3236;2522;
2051;3425;3813;3204;2489;
2051;3425;3813;3204;2489;
2051;3425;3813;3204;2489;
1927;3280;3676;3090;2355;
1927;3280;3676;3090;2355;
1927;3280;3676;3090;2355;
1897;3265;3663;3082;2337;
1897;3265;3663;3082;2337;
2046;3435;3831;3210;2494;
2046;3435;3831;3210;2494;
2046;3435;3831;3210;2494;
2090;3468;3847;3229;2522;
2090;3468;3847;3229;2522;
2090;3468;3847;3229;2522;
1955;3313;3708;3115;2389;
1955;3313;3708;3115;2389;
1955;3313;3708;3115;2389;
1905;3266;3659;3078;2346;
1905;3266;3659;3078;2346;
2017;3401;3789;3189;2459;
2017;3401;3789;3189;2459;
2017;3401;3789;3189;2459;
2091;3482;3863;3244;2534;
2091;3482;3863;3244;2534;
2091;3482;3863;3244;2534;
1993;3356;3742;3150;2425;
1900;3266;3666;3082;2343;
1900;3266;3666;3082;2343;
1975;3344;3725;3140;2413;
1975;3344;3725;3140;2413;
1975;3344;3725;3140;2413;
2090;3473;3870;3245;2530;
2090;3473;3870;3245;2530;
2090;3473;3870;3245;2530;
2025;3402;3791;3181;2460;
2025;3402;3791;3181;2460;
1913;3271;3665;3080;2344;
1913;3271;3665;3080;2344;
1913;3271;3665;3080;2344;
1932;3290;3679;3101;2367;
1932;3290;3679;3101;2367;
1932;3290;3679;3101;2367;
2079;3469;3854;3238;2525;
2079;3469;3854;3238;2525;
2079;3469;3854;3238;2525;
2056;3430;3826;3208;2499;
2056;3430;3826;3208;2499;
1922;3285;3677;3089;2357;
1922;3285;3677;3089;2357;
1922;3285;3677;3089;2357;
1907;3265;3663;3078;2345;
1907;3265;3663;3078;2345;
1907;3265;3663;3078;2345;
2049;3434;3828;3216;2503;
2049;3434;3828;3216;2503;
2049;3434;3828;3216;2503;
2074;3460;3847;3229;2517;
2074;3460;3847;3229;2517;
2074;3460;3847;3229;2517;
1953;3312;3709;3113;2388;
1953;3312;3709;3113;2388;
1901;3262;3660;3079;2336;
1901;3262;3660;3079;2336;
1901;3262;3660;3079;2336;
2015;3399;3788;3186;2450;
2015;3399;3788;3186;2450;
2090;3481;3859;3245;2539;
2090;3481;3859;3245;2539;
2090;3481;3859;3245;2539;
1990;3360;3742;3150;2425;
1990;3360;3742;3150;2425;
1990;3360;3742;3150;2425;
1904;3267;3662;3076;2340;
1904;3267;3662;3076;2340;
1904;3267;3662;3076;2340;
1966;3344;3740;3139;2405;
1966;3344;3740;3139;2405;
1966;3344;3740;3139;2405;
2087;3482;3876;3247;2533;
2087;3482;3876;3247;2533;
2021;3405;3788;3185;2463;
2021;3405;3788;3185;2463;
2021;3405;3788;3185;2463;
1908;3267;3665;3078;2344;
1908;3267;3665;3078;2344;
1908;3267;3665;3078;2344;
1921;3294;3685;3102;2360;
1921;3294;3685;3102;2360;
1921;3294;3685;3102;2360;
2075;3465;3861;3237;2514;
2075;3465;3861;3237;2514;
2060;3431;3822;3212;2499;
2060;3431;3822;3212;2499;
2060;3431;3822;3212;2499;
1919;3291;3678;3093;2353;
1919;3291;3678;3093;2353;
1919;3291;3678;3093;2353;
1908;3269;3659;3082;2341;
1908;3269;3659;3082;2341;
1908;3269;3659;3082;2341;
2048;3443;3828;3216;2494;
2048;3443;3828;3216;2494;
2072;3463;3845;3232;2517;
2072;3463;3845;3232;2517;
2072;3463;3845;3232;2517;
1954;3316;3700;3118;2390;
1954;3316;3700;3118;2390;
1954;3316;3700;3118;2390;
1904;3264;3658;3077;2340;
1904;3264;3658;3077;2340;
2013;3388;3788;3174;2449;
2013;3388;3788;3174;2449;
2013;3388;3788;3174;2449;
2089;3480;3865;3244;2531;
1906;3270;3663;3082;2347;
1906;3270;3663;3082;2347;
1972;3344;3743;3141;2410;
1972;3344;3743;3141;2410;
1972;3344;3743;3141;2410;
2093;3486;3870;3246;2541;
2093;3486;3870;3246;2541;
2093;3486;3870;3246;2541;
2029;3403;3793;3190;2468;
2029;3403;3793;3190;2468;
2029;3403;3793;3190;2468;
1910;3272;3657;3082;2349;
1910;3272;3657;3082;2349;
1923;3294;3695;3098;2360;
1923;3294;3695;3098;2360;
1923;3294;3695;3098;2360;
2078;3463;3862;3231;2521;
2078;3463;3862;3231;2521;
2078;3463;3862;3231;2521;
2047;3435;3820;3206;2497;
2047;3435;3820;3206;2497;
2047;3435;3820;3206;2497;
1919;3281;3675;3090;2353;
1919;3281;3675;3090;2353;
1902;3266;3666;3077;2339;
1902;3266;3666;3077;2339;
1902;3266;3666;3077;2339;
2053;3439;3831;3220;2502;
2053;3439;3831;3220;2502;
2075;3461;3849;3232;2519;
2075;3461;3849;3232;2519;
2075;3461;3849;3232;2519;
1958;3318;3707;3120;2390;
1958;3318;3707;3120;2390;
1958;3318;3707;3120;2390;
1905;3262;3658;3082;2344;
1905;3262;3658;3082;2344;
1905;3262;3658;3082;2344;
2014;3396;3788;3183;2459;
2014;3396;3788;3183;2459;
2089;3477;3868;3243;2533;
2089;3477;3868;3243;2533;
2089;3477;3868;3243;2533;
1983;3360;3742;3149;2421;
1983;3360;3742;3149;2421;
1983;3360;3742;3149;2421;
1902;3266;3660;3075;2343;
1902;3266;3660;3075;2343;
1902;3266;3660;3075;2343;
1970;3354;3741;3146;2415;
1970;3354;3741;3146;2415;
1970;3354;3741;3146;2415;
2089;3478;3873;3245;2538;
2089;3478;3873;3245;2538;
2031;3402;3793;3187;2471;
2031;3402;3793;3187;2471;
2031;3402;3793;3187;2471;
1909;3268;3663;3078;2344;
1909;3268;3663;3078;2344;
1909;3268;3663;3078;2344;
1923;3297;3689;3105;2370;
1923;3297;3689;3105;2370;
2071;3468;3854;3235;2517;
2071;3468;3854;3235;2517;
2071;3468;3854;3235;2517;
2057;3427;3816;3210;2501;
2057;3427;3816;3210;2501;
2057;3427;3816;3210;2501;
1915;3283;3672;3087;2355;
1915;3283;3672;3087;2355;
1915;3283;3672;3087;2355;
1900;3269;3664;3081;2347;
1900;3269;3664;3081;2347;
2048;3435;3833;3216;2488;
2048;3435;3833;3216;2488;
2048;3435;3833;3216;2488;
2076;3458;3849;3231;2517;
2076;3458;3849;3231;2517;
2076;3458;3849;3231;2517;
1956;3316;3708;3116;2392;
1956;3316;3708;3116;2392;
1901;3267;3665;3078;2342;
1901;3267;3665;3078;2342;
1901;3267;3665;3078;2342;
2014;3393;3787;3184;2455;
2014;3393;3787;3184;2455;
2014;3393;3787;3184;2455;
2090;3470;3863;3243;2531;
2090;3470;3863;3243;2531;
2090;3470;3863;3243;2531;
1992;3366;3736;3150;2425;
1992;3366;3736;3150;2425;
1903;3266;3655;3079;2343;
1903;3266;3655;3079;2343;
1903;3266;3655;3079;2343;
1976;3344;3737;3140;2401;
1976;3344;3737;3140;2401;
1976;3344;3737;3140;2401;
2083;3481;3869;3245;2529;
2083;3481;3869;3245;2529;
2083;3481;3869;3245;2529;
2027;3398;3791;3180;2470;
2027;3398;3791;3180;2470;
1908;3269;3664;3082;2344;
1908;3269;3664;3082;2344;
1908;3269;3664;3082;2344;
1927;3290;3683;3097;2364;
1927;3290;3683;3097;2364;
2083;3469;3857;3236;2523;
2083;3469;3857;3236;2523;
2083;3469;3857;3236;2523;
2056;3431;3819;3209;2501;
2056;3431;3819;3209;2501;
2056;3431;3819;3209;2501;
1925;3286;3680;3091;2359;
1925;3286;3680;3091;2359;
1925;3286;3680;3091;2359;
