s0;s1;s2;s3;s4
0;1249;3950;1985;0;
0;1249;3950;1985;0;
0;1406;4064;2020;0;
0;1406;4064;2020;0;
0;1190;3927;1947;0;
0;1190;3927;1947;0;
0;1190;3927;1947;0;
0;1030;3822;1915;0;
0;1030;3822;1915;0;
0;1030;3822;1915;0;
0;1209;3908;1971;0;
0;1209;3908;1971;0;
0;1209;3908;1971;0;
0;1393;4064;2018;0;
0;1393;4064;2018;0;
0;1220;3948;1952;0;
0;1220;3948;1952;0;
0;1220;3948;1952;0;
0;1031;3822;1911;0;
0;1031;3822;1911;0;
0;1031;3822;1911;0;
0;1172;3889;1962;0;
0;1172;3889;1962;0;
0;1418;4067;2024;0;
0;1418;4067;2024;0;
0;1418;4067;2024;0;
0;1248;3969;1967;0;
0;1248;3969;1967;0;
0;1248;3969;1967;0;
0;1047;3831;1918;0;
0;1047;3831;1918;0;
0;1047;3831;1918;0;
0;1135;3875;1947;0;
0;1135;3875;1947;0;
0;1393;4065;2019;0;
0;1393;4065;2019;0;
0;1393;4065;2019;0;
0;1280;3985;1977;0;
0;1280;3985;1977;0;
0;1280;3985;1977;0;
0;1046;3836;1909;0;
0;1046;3836;1909;0;
0;1092;3841;1938;0;
0;1092;3841;1938;0;
0;1092;3841;1938;0;
0;1395;4055;2019;0;
0;1395;4055;2019;0;
0;1395;4055;2019;0;
0;1306;4009;1986;0;
0;1306;4009;1986;0;
0;1306;4009;1986;0;
0;1042;3845;1911;0;
0;1042;3845;1911;0;
0;1053;3828;1927;0;
0;1053;3828;1927;0;
0;1053;3828;1927;0;
0;1375;4036;2016;0;
0;1375;4036;2016;0;
0;1375;4036;2016;0;
0;1324;4021;1994;0;
0;1324;4021;1994;0;
0;1324;4021;1994;0;
0;1052;3849;1918;0;
0;1052;3849;1918;0;
0;1027;3810;1920;0;
0;1027;3810;1920;0;
0;1027;3810;1920;0;
0;1355;4027;2012;0;
0;1355;4027;2012;0;
0;1355;4027;2012;0;
0;1336;4034;1998;0;
0;1336;4034;1998;0;
0;1072;3855;1915;0;
0;1072;3855;1915;0;
0;1072;3855;1915;0;
0;1025;3798;1916;0;
0;1025;3798;1916;0;
0;1025;3798;1916;0;
0;1346;4006;2006;0;
0;1346;4006;2006;0;
0;1359;4034;2006;0;
0;1359;4034;2006;0;
0;1359;4034;2006;0;
0;1102;3871;1930;0;
0;1102;3871;1930;0;
0;1102;3871;1930;0;
0;1015;3800;1914;0;
0;1015;3800;1914;0;
0;1313;3994;2003;0;
0;1313;3994;2003;0;
0;1370;4042;2007;0;
0;1370;4042;2007;0;
0;1370;4042;2007;0;
0;1122;3894;1932;0;
0;1122;3894;1932;0;
0;1024;3805;1915;0;
0;1024;3805;1915;0;
0;1024;3805;1915;0;
0;1299;3983;1994;0;
0;1299;3983;1994;0;
0;1299;3983;1994;0;
0;1385;4057;2011;0;
0;1385;4057;2011;0;
0;1385;4057;2011;0;
0;1150;3904;1946;0;
0;1150;3904;1946;0;
0;1028;3804;1914;0;
0;1028;3804;1914;0;
0;1028;3804;1914;0;
0;1248;3950;1985;0;
0;1248;3950;1985;0;
0;1248;3950;1985;0;
0;1398;4067;2017;0;
0;1398;4067;2017;0;
0;1179;3921;1946;0;
0;1179;3921;1946;0;
0;1179;3921;1946;0;
0;1029;3825;1915;0;
0;1029;3825;1915;0;
0;1029;3825;1915;0;
0;1222;3924;1975;0;
0;1222;3924;1975;0;
0;1400;4067;2019;0;
0;1400;4067;2019;0;
0;1400;4067;2019;0;
0;1210;3939;1957;0;
0;1210;3939;1957;0;
0;1210;3939;1957;0;
0;1033;3823;1913;0;
0;1033;3823;1913;0;
0;1033;3823;1913;0;
0;1190;3901;1964;0;
0;1190;3901;1964;0;
0;1397;4070;2019;0;
0;1397;4070;2019;0;
0;1397;4070;2019;0;
0;1232;3951;1965;0;
0;1232;3951;1965;0;
0;1232;3951;1965;0;
