s0;s1;s2;s3;s4
2042;0;0;0;0;
2042;0;0;0;0;
2042;0;0;0;0;
1919;0;0;0;0;
1919;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
1978;0;0;0;0;
1978;0;0;0;0;
1978;0;0;0;0;
2053;0;0;0;0;
2053;0;0;0;0;
2053;0;0;0;0;
1942;0;0;0;0;
1942;0;0;0;0;
1942;0;0;0;0;
1862;0;0;0;0;
1862;0;0;0;0;
1862;0;0;0;0;
1962;0;0;0;0;
1962;0;0;0;0;
2055;0;0;0;0;
2055;0;0;0;0;
2055;0;0;0;0;
1963;0;0;0;0;
1963;0;0;0;0;
1963;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
1930;0;0;0;0;
1930;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
1985;0;0;0;0;
1985;0;0;0;0;
1985;0;0;0;0;
1872;0;0;0;0;
1872;0;0;0;0;
1914;0;0;0;0;
1914;0;0;0;0;
1914;0;0;0;0;
2049;0;0;0;0;
2049;0;0;0;0;
2049;0;0;0;0;
2004;0;0;0;0;
2004;0;0;0;0;
2004;0;0;0;0;
1870;0;0;0;0;
1870;0;0;0;0;
1870;0;0;0;0;
1887;0;0;0;0;
1887;0;0;0;0;
2044;0;0;0;0;
2044;0;0;0;0;
2044;0;0;0;0;
2016;0;0;0;0;
2016;0;0;0;0;
2016;0;0;0;0;
1879;0;0;0;0;
1879;0;0;0;0;
1879;0;0;0;0;
1864;0;0;0;0;
1864;0;0;0;0;
2025;0;0;0;0;
2025;0;0;0;0;
2025;0;0;0;0;
2031;0;0;0;0;
2031;0;0;0;0;
2031;0;0;0;0;
1897;0;0;0;0;
1897;0;0;0;0;
1897;0;0;0;0;
1864;0;0;0;0;
1864;0;0;0;0;
2006;0;0;0;0;
2006;0;0;0;0;
2006;0;0;0;0;
1986;0;0;0;0;
1986;0;0;0;0;
1986;0;0;0;0;
2050;0;0;0;0;
2050;0;0;0;0;
1928;0;0;0;0;
1928;0;0;0;0;
1928;0;0;0;0;
1867;0;0;0;0;
1966;0;0;0;0;
1966;0;0;0;0;
1966;0;0;0;0;
2058;0;0;0;0;
2058;0;0;0;0;
2058;0;0;0;0;
1953;0;0;0;0;
1953;0;0;0;0;
1953;0;0;0;0;
1874;0;0;0;0;
1874;0;0;0;0;
1946;0;0;0;0;
1946;0;0;0;0;
1946;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
1972;0;0;0;0;
1972;0;0;0;0;
1972;0;0;0;0;
1868;0;0;0;0;
1868;0;0;0;0;
1924;0;0;0;0;
1924;0;0;0;0;
1924;0;0;0;0;
2049;0;0;0;0;
2049;0;0;0;0;
2049;0;0;0;0;
1990;0;0;0;0;
1990;0;0;0;0;
1990;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1891;0;0;0;0;
1891;0;0;0;0;
2048;0;0;0;0;
2048;0;0;0;0;
2048;0;0;0;0;
2005;0;0;0;0;
2005;0;0;0;0;
2005;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1878;0;0;0;0;
1878;0;0;0;0;
2029;0;0;0;0;
2029;0;0;0;0;
2029;0;0;0;0;
2023;0;0;0;0;
2023;0;0;0;0;
2023;0;0;0;0;
1887;0;0;0;0;
1887;0;0;0;0;
1887;0;0;0;0;
1875;0;0;0;0;
1875;0;0;0;0;
1875;0;0;0;0;
2025;0;0;0;0;
2025;0;0;0;0;
2025;0;0;0;0;
2041;0;0;0;0;
2041;0;0;0;0;
1905;0;0;0;0;
1905;0;0;0;0;
1905;0;0;0;0;
1870;0;0;0;0;
1870;0;0;0;0;
1870;0;0;0;0;
2002;0;0;0;0;
2002;0;0;0;0;
2002;0;0;0;0;
2041;0;0;0;0;
2041;0;0;0;0;
2041;0;0;0;0;
1920;0;0;0;0;
1920;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1980;0;0;0;0;
1980;0;0;0;0;
1980;0;0;0;0;
2057;0;0;0;0;
2057;0;0;0;0;
2057;0;0;0;0;
1941;0;0;0;0;
1941;0;0;0;0;
1941;0;0;0;0;
1867;0;0;0;0;
1867;0;0;0;0;
1957;0;0;0;0;
1957;0;0;0;0;
1957;0;0;0;0;
2058;0;0;0;0;
2058;0;0;0;0;
2058;0;0;0;0;
1962;0;0;0;0;
1962;0;0;0;0;
1962;0;0;0;0;
1871;0;0;0;0;
1871;0;0;0;0;
1943;0;0;0;0;
1943;0;0;0;0;
1943;0;0;0;0;
2060;0;0;0;0;
2060;0;0;0;0;
2060;0;0;0;0;
1983;0;0;0;0;
1983;0;0;0;0;
1983;0;0;0;0;
1868;0;0;0;0;
1868;0;0;0;0;
1907;0;0;0;0;
1907;0;0;0;0;
1907;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
2054;0;0;0;0;
1996;0;0;0;0;
1996;0;0;0;0;
1869;0;0;0;0;
1869;0;0;0;0;
1869;0;0;0;0;
1887;0;0;0;0;
1887;0;0;0;0;
2036;0;0;0;0;
2036;0;0;0;0;
2036;0;0;0;0;
2009;0;0;0;0;
2009;0;0;0;0;
1871;0;0;0;0;
1871;0;0;0;0;
1871;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
1873;0;0;0;0;
2029;0;0;0;0;
2029;0;0;0;0;
2029;0;0;0;0;
2031;0;0;0;0;
2031;0;0;0;0;
2031;0;0;0;0;
1890;0;0;0;0;
1890;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
1865;0;0;0;0;
2012;0;0;0;0;
2012;0;0;0;0;
2012;0;0;0;0;
2035;0;0;0;0;
2035;0;0;0;0;
2035;0;0;0;0;
1903;0;0;0;0;
1903;0;0;0;0;
1903;0;0;0;0;
1867;0;0;0;0;
1867;0;0;0;0;
1997;0;0;0;0;
1997;0;0;0;0;
1997;0;0;0;0;
2048;0;0;0;0;
2048;0;0;0;0;
2048;0;0;0;0;
1925;0;0;0;0;
1925;0;0;0;0;
1925;0;0;0;0;
1874;0;0;0;0;
1874;0;0;0;0;
1969;0;0;0;0;
1969;0;0;0;0;
1969;0;0;0;0;
2059;0;0;0;0;
2059;0;0;0;0;
2059;0;0;0;0;
1947;0;0;0;0;
1947;0;0;0;0;
1947;0;0;0;0;
1868;0;0;0;0;
1868;0;0;0;0;
1868;0;0;0;0;
