s0;s1;s2;s3;s4
0;0;0;0;2360;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2316;
0;0;0;0;2316;
0;0;0;0;2316;
0;0;0;0;2426;
0;0;0;0;2426;
0;0;0;0;2376;
0;0;0;0;2376;
0;0;0;0;2376;
0;0;0;0;2269;
0;0;0;0;2269;
0;0;0;0;2269;
0;0;0;0;2282;
0;0;0;0;2282;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2395;
0;0;0;0;2395;
0;0;0;0;2395;
0;0;0;0;2273;
0;0;0;0;2273;
0;0;0;0;2273;
0;0;0;0;2266;
0;0;0;0;2266;
0;0;0;0;2416;
0;0;0;0;2416;
0;0;0;0;2416;
0;0;0;0;2399;
0;0;0;0;2399;
0;0;0;0;2399;
0;0;0;0;2274;
0;0;0;0;2274;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2398;
0;0;0;0;2398;
0;0;0;0;2398;
0;0;0;0;2414;
0;0;0;0;2414;
0;0;0;0;2295;
0;0;0;0;2295;
0;0;0;0;2295;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2383;
0;0;0;0;2383;
0;0;0;0;2426;
0;0;0;0;2426;
0;0;0;0;2426;
0;0;0;0;2312;
0;0;0;0;2312;
0;0;0;0;2312;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2365;
0;0;0;0;2365;
0;0;0;0;2433;
0;0;0;0;2433;
0;0;0;0;2433;
0;0;0;0;2331;
0;0;0;0;2331;
0;0;0;0;2331;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2342;
0;0;0;0;2342;
0;0;0;0;2342;
0;0;0;0;2433;
0;0;0;0;2433;
0;0;0;0;2433;
0;0;0;0;2350;
0;0;0;0;2350;
0;0;0;0;2350;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2325;
0;0;0;0;2325;
0;0;0;0;2325;
0;0;0;0;2439;
0;0;0;0;2439;
0;0;0;0;2439;
0;0;0;0;2358;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2304;
0;0;0;0;2304;
0;0;0;0;2304;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2379;
0;0;0;0;2379;
0;0;0;0;2379;
0;0;0;0;2269;
0;0;0;0;2269;
0;0;0;0;2288;
0;0;0;0;2288;
0;0;0;0;2288;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2389;
0;0;0;0;2389;
0;0;0;0;2275;
0;0;0;0;2275;
0;0;0;0;2275;
0;0;0;0;2256;
0;0;0;0;2256;
0;0;0;0;2256;
0;0;0;0;2410;
0;0;0;0;2410;
0;0;0;0;2410;
0;0;0;0;2404;
0;0;0;0;2404;
0;0;0;0;2278;
0;0;0;0;2278;
0;0;0;0;2278;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2407;
0;0;0;0;2407;
0;0;0;0;2409;
0;0;0;0;2409;
0;0;0;0;2409;
0;0;0;0;2298;
0;0;0;0;2298;
0;0;0;0;2298;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2384;
0;0;0;0;2384;
0;0;0;0;2422;
0;0;0;0;2422;
0;0;0;0;2422;
0;0;0;0;2312;
0;0;0;0;2312;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2367;
0;0;0;0;2367;
0;0;0;0;2367;
0;0;0;0;2427;
0;0;0;0;2427;
0;0;0;0;2427;
0;0;0;0;2329;
0;0;0;0;2329;
0;0;0;0;2263;
0;0;0;0;2263;
0;0;0;0;2263;
0;0;0;0;2350;
0;0;0;0;2350;
0;0;0;0;2350;
0;0;0;0;2431;
0;0;0;0;2431;
0;0;0;0;2431;
0;0;0;0;2346;
0;0;0;0;2346;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2328;
0;0;0;0;2328;
0;0;0;0;2328;
0;0;0;0;2430;
0;0;0;0;2430;
0;0;0;0;2352;
0;0;0;0;2352;
0;0;0;0;2352;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2309;
0;0;0;0;2309;
0;0;0;0;2309;
0;0;0;0;2428;
0;0;0;0;2428;
0;0;0;0;2373;
0;0;0;0;2373;
0;0;0;0;2373;
0;0;0;0;2267;
0;0;0;0;2267;
0;0;0;0;2267;
0;0;0;0;2290;
0;0;0;0;2290;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2425;
0;0;0;0;2385;
0;0;0;0;2385;
0;0;0;0;2385;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2276;
0;0;0;0;2276;
0;0;0;0;2416;
0;0;0;0;2416;
0;0;0;0;2416;
0;0;0;0;2393;
0;0;0;0;2393;
0;0;0;0;2393;
0;0;0;0;2268;
0;0;0;0;2268;
0;0;0;0;2264;
0;0;0;0;2264;
0;0;0;0;2264;
0;0;0;0;2418;
0;0;0;0;2418;
0;0;0;0;2418;
0;0;0;0;2406;
0;0;0;0;2406;
0;0;0;0;2406;
0;0;0;0;2279;
0;0;0;0;2279;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2401;
0;0;0;0;2401;
0;0;0;0;2401;
0;0;0;0;2414;
0;0;0;0;2414;
0;0;0;0;2414;
0;0;0;0;2289;
0;0;0;0;2289;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2386;
0;0;0;0;2386;
0;0;0;0;2386;
0;0;0;0;2416;
0;0;0;0;2416;
0;0;0;0;2306;
0;0;0;0;2306;
0;0;0;0;2306;
0;0;0;0;2263;
0;0;0;0;2263;
0;0;0;0;2373;
0;0;0;0;2373;
0;0;0;0;2373;
0;0;0;0;2421;
0;0;0;0;2421;
0;0;0;0;2421;
0;0;0;0;2313;
0;0;0;0;2313;
0;0;0;0;2313;
0;0;0;0;2261;
0;0;0;0;2261;
0;0;0;0;2353;
0;0;0;0;2353;
0;0;0;0;2353;
0;0;0;0;2432;
0;0;0;0;2432;
0;0;0;0;2332;
0;0;0;0;2332;
0;0;0;0;2332;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2262;
0;0;0;0;2344;
0;0;0;0;2344;
0;0;0;0;2344;
0;0;0;0;2433;
0;0;0;0;2433;
0;0;0;0;2341;
0;0;0;0;2341;
0;0;0;0;2341;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2260;
0;0;0;0;2321;
0;0;0;0;2321;
0;0;0;0;2427;
0;0;0;0;2427;
0;0;0;0;2427;
0;0;0;0;2356;
0;0;0;0;2356;
0;0;0;0;2356;
0;0;0;0;2267;
0;0;0;0;2267;
0;0;0;0;2304;
0;0;0;0;2304;
0;0;0;0;2304;
0;0;0;0;2432;
0;0;0;0;2432;
0;0;0;0;2432;
0;0;0;0;2372;
0;0;0;0;2372;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2265;
0;0;0;0;2298;
0;0;0;0;2298;
0;0;0;0;2421;
0;0;0;0;2385;
0;0;0;0;2267;
0;0;0;0;2267;
0;0;0;0;2274;
0;0;0;0;2274;
0;0;0;0;2274;
0;0;0;0;2421;
0;0;0;0;2421;
0;0;0;0;2421;
0;0;0;0;2394;
