s1,s2,s3,s4,s5
3777,3352,2615,3297,4239
3777,3349,2616,3294,4241
3777,3349,2616,3294,4241
3777,3356,2611,3300,4249
3777,3356,2611,3300,4249
3777,3356,2611,3300,4249
3777,3351,2621,3296,4241
3777,3351,2621,3296,4241
3777,3351,2621,3296,4241
3772,3355,2616,3299,4245
3772,3355,2616,3299,4245
3772,3355,2616,3299,4245
3777,3356,2620,3300,4247
3777,3356,2620,3300,4247
3777,3356,2620,3300,4247
3777,3354,2621,3298,4243
3777,3354,2621,3298,4243
3798,3353,2614,3300,4247
3798,3353,2614,3300,4247
3798,3353,2614,3300,4247
3777,3352,2611,3296,4247
3777,3352,2611,3296,4247
3777,3352,2611,3296,4247
3798,3356,2619,3299,4247
3798,3356,2619,3299,4247
3798,3356,2619,3299,4247
3777,3354,2615,3297,4245
3777,3354,2615,3297,4245
3777,3354,2615,3297,4245
3777,3350,2616,3295,4245
3777,3350,2616,3295,4245
3777,3354,2617,3297,4243
3777,3354,2617,3297,4243
3777,3354,2617,3297,4243
3777,3354,2616,3297,4245
3777,3354,2616,3297,4245
3777,3354,2616,3297,4245
3777,3355,2616,3299,4247
3777,3355,2616,3299,4247
3772,3356,2617,3301,4247
3772,3356,2617,3301,4247
3772,3356,2617,3301,4247
3777,3353,2620,3298,4243
3777,3353,2620,3298,4243
3777,3353,2620,3298,4243
3777,3359,2624,3302,4247
3777,3359,2624,3302,4247
3777,3359,2624,3302,4247
3800,3360,2617,3302,4247
3800,3360,2617,3302,4247
3795,3354,2621,3299,4243
3795,3354,2621,3299,4243
3795,3354,2621,3299,4243
3772,3354,2619,3299,4245
3772,3354,2619,3299,4245
3772,3354,2619,3299,4245
3777,3356,2621,3300,4251
3777,3356,2621,3300,4251
3777,3356,2621,3300,4251
3777,3354,2617,3298,4249
3777,3354,2617,3298,4249
3777,3355,2616,3301,4245
3777,3355,2616,3301,4245
3777,3355,2616,3301,4245
3772,3352,2617,3297,4245
3772,3352,2617,3297,4245
3772,3352,2617,3297,4245
3777,3357,2622,3301,4249
3777,3357,2622,3301,4249
3777,3357,2622,3301,4249
3777,3352,2616,3301,4245
3777,3352,2616,3301,4245
3777,3356,2619,3301,4243
3777,3356,2619,3301,4243
3777,3356,2619,3301,4243
3777,3351,2615,3297,4243
3777,3351,2615,3297,4243
3777,3351,2615,3297,4243
3777,3354,2621,3299,4249
3777,3354,2621,3299,4249
3777,3354,2621,3299,4249
3777,3354,2618,3299,4246
3777,3354,2618,3299,4246
3777,3354,2618,3301,4245
3777,3354,2618,3301,4245
3777,3354,2618,3301,4245
3777,3355,2620,3300,4251
3777,3355,2620,3300,4251
3777,3354,2617,3300,4247
3777,3354,2617,3300,4247
3797,3355,2618,3301,4245
3797,3355,2618,3301,4245
3797,3355,2618,3301,4245
3777,3355,2620,3301,4247
3777,3355,2620,3301,4247
3777,3355,2620,3300,4245
3777,3355,2620,3300,4245
3777,3355,2620,3300,4245
3777,3356,2616,3301,4247
3777,3356,2616,3301,4247
3777,3356,2616,3301,4247
3777,3348,2612,3294,4245
3777,3348,2612,3294,4245
3777,3348,2612,3294,4245
3777,3348,2613,3296,4243
3777,3348,2613,3296,4243
3777,3349,2602,3294,4243
3777,3349,2602,3294,4243
3777,3349,2602,3294,4243
3777,3355,2611,3297,4241
3777,3355,2611,3297,4241
3777,3355,2611,3297,4241
3798,3350,2609,3294,4238
3798,3350,2609,3294,4238
3798,3350,2609,3294,4238
3777,3351,2609,3294,4237
3777,3351,2609,3294,4237
3777,3351,2614,3295,4243
3777,3351,2614,3295,4243
3777,3351,2614,3295,4243
3777,3355,2609,3299,4251
3777,3355,2609,3299,4251
3777,3355,2609,3299,4251
3777,3351,2615,3297,4241
3777,3351,2615,3297,4241
