s0,s1,s2,s3,s4
1294,3276,3750,2885,1981
1294,3280,3750,2885,1987
1294,3280,3750,2885,1987
1294,3280,3750,2885,1987
1300,3280,3750,2884,1980
1300,3280,3750,2884,1980
1300,3285,3758,2889,1980
1300,3285,3758,2889,1980
1300,3285,3758,2889,1980
1310,3284,3758,2893,1991
1310,3284,3758,2893,1991
1310,3284,3758,2893,1991
1312,3282,3751,2887,1980
1312,3282,3751,2887,1980
1312,3282,3751,2887,1980
1310,3286,3750,2889,1980
1310,3286,3750,2889,1980
1310,3286,3750,2889,1980
1310,3280,3750,2891,1984
1310,3280,3750,2891,1984
1307,3281,3751,2883,1982
1307,3281,3751,2883,1982
1307,3281,3751,2883,1982
1312,3281,3750,2887,1980
1312,3281,3750,2887,1980
1312,3281,3750,2887,1980
1293,3282,3750,2886,1978
1293,3282,3750,2886,1978
1293,3282,3750,2886,1978
1292,3284,3750,2888,1984
1292,3284,3750,2888,1984
1292,3284,3750,2888,1984
1298,3278,3750,2882,1982
1298,3278,3750,2882,1982
1299,3282,3750,2886,1978
1299,3282,3750,2886,1978
1299,3282,3750,2886,1978
1293,3284,3751,2884,1978
1293,3284,3751,2884,1978
1293,3284,3751,2884,1978
1298,3279,3750,2884,1980
1298,3279,3750,2884,1980
1298,3279,3750,2884,1980
1298,3285,3750,2886,1984
1298,3285,3750,2886,1984
1309,3284,3745,2891,1991
1309,3284,3745,2891,1991
1309,3284,3745,2891,1991
1298,3278,3750,2883,1980
1298,3278,3750,2883,1980
1298,3278,3750,2883,1980
1293,3282,3750,2885,1978
1293,3282,3750,2885,1978
1293,3282,3750,2886,1980
1293,3282,3750,2886,1980
1293,3282,3750,2886,1980
1293,3278,3749,2884,1978
1293,3278,3749,2884,1978
1293,3278,3749,2884,1978
1298,3282,3759,2885,1978
1298,3282,3759,2885,1978
1298,3282,3759,2885,1978
1298,3278,3755,2885,1976
1298,3278,3755,2885,1976
1293,3286,3750,2886,1980
1293,3286,3750,2886,1980
1293,3286,3750,2886,1980
1308,3279,3749,2883,1982
1308,3279,3749,2883,1982
1308,3279,3749,2883,1982
1292,3278,3750,2886,1982
1292,3278,3750,2886,1982
1292,3278,3750,2886,1982
1299,3278,3750,2886,1982
1299,3278,3750,2886,1982
1299,3278,3750,2886,1982
1293,3282,3750,2886,1974
1293,3282,3750,2886,1974
1298,3280,3750,2887,1980
1298,3280,3750,2887,1980
1298,3280,3750,2887,1980
1293,3284,3750,2886,1980
1293,3284,3750,2886,1980
1293,3284,3750,2886,1980
1299,3283,3750,2885,1978
1299,3283,3750,2885,1978
1299,3283,3750,2885,1978
1297,3280,3750,2885,1981
1299,3282,3750,2884,1978
1299,3282,3750,2884,1978
1293,3284,3750,2887,1978
1293,3284,3750,2887,1978
1293,3284,3750,2887,1978
1301,3280,3759,2882,1982
1301,3280,3759,2882,1982
1301,3280,3759,2882,1982
1300,3281,3750,2888,1978
1300,3281,3750,2888,1978
1300,3281,3750,2888,1978
1298,3282,3750,2892,1980
1298,3282,3750,2892,1980
1293,3281,3750,2888,1982
1293,3281,3750,2888,1982
1293,3281,3750,2888,1982
1299,3276,3749,2880,1978
1299,3276,3749,2880,1978
1299,3276,3749,2880,1978
1298,3283,3750,2884,1980
1298,3283,3750,2884,1980
1298,3283,3750,2884,1980
1298,3282,3750,2886,1982
1298,3282,3750,2886,1982
1298,3287,3760,2885,1980
1298,3287,3760,2885,1980
1298,3287,3760,2885,1980
1298,3279,3750,2884,1974
1298,3279,3750,2884,1974
1298,3279,3750,2884,1974
1311,3281,3750,2886,1980
1311,3281,3750,2886,1980
1311,3281,3750,2886,1980
1293,3280,3750,2884,1982
1293,3280,3750,2884,1982
1297,3284,3750,2886,1986
1297,3284,3750,2886,1986
1297,3284,3750,2886,1986
1293,3280,3750,2883,1980
1293,3280,3750,2883,1980
1293,3280,3750,2883,1980
1298,3280,3750,2885,1983
1298,3280,3750,2885,1983
1298,3280,3750,2885,1983
1291,3283,3750,2890,1977
1291,3283,3750,2890,1977
1291,3285,3750,2887,1976
1291,3285,3750,2887,1976
1291,3285,3750,2887,1976
1298,3282,3750,2885,1986
1298,3282,3750,2885,1986
1298,3282,3750,2885,1986
1298,3282,3750,2886,1979
1298,3282,3750,2886,1979
