s0,s1,s2,s3,s4
0,1500,4578,1433,0
0,1500,4578,1433,0
0,1500,4578,1433,0
0,1510,4577,1440,0
0,1510,4577,1440,0
0,1497,4572,1436,0
0,1497,4572,1436,0
0,1497,4572,1436,0
0,1498,4579,1436,0
0,1498,4579,1436,0
0,1498,4579,1436,0
0,1497,4577,1434,0
0,1497,4577,1434,0
0,1497,4577,1434,0
0,1498,4576,1434,0
0,1498,4576,1434,0
0,1497,4583,1437,0
0,1497,4583,1437,0
0,1497,4583,1437,0
0,1508,4581,1436,0
0,1508,4581,1436,0
0,1508,4581,1436,0
0,1509,4582,1430,0
0,1509,4582,1430,0
0,1509,4577,1440,0
0,1509,4577,1440,0
0,1509,4577,1440,0
0,1512,4576,1439,0
0,1512,4576,1439,0
0,1511,4577,1433,0
0,1511,4577,1433,0
0,1511,4577,1433,0
0,1498,4575,1434,0
0,1498,4575,1434,0
0,1499,4579,1437,0
0,1499,4579,1437,0
0,1499,4579,1437,0
0,1504,4575,1434,0
0,1504,4575,1434,0
0,1504,4575,1434,0
0,1496,4578,1435,0
0,1496,4578,1435,0
0,1496,4578,1435,0
0,1511,4576,1431,0
0,1511,4576,1431,0
0,1497,4582,1436,0
0,1497,4582,1436,0
0,1497,4582,1436,0
0,1495,4583,1435,0
0,1495,4583,1435,0
0,1495,4583,1435,0
0,1511,4580,1433,0
0,1511,4580,1433,0
0,1511,4580,1433,0
0,1494,4578,1431,0
0,1494,4578,1431,0
0,1494,4578,1431,0
0,1509,4575,1439,0
0,1509,4575,1439,0
0,1496,4580,1435,0
0,1496,4580,1435,0
0,1496,4580,1435,0
0,1498,4576,1434,0
0,1498,4576,1434,0
0,1498,4576,1434,0
0,1509,4577,1433,0
0,1509,4577,1433,0
0,1509,4577,1433,0
0,1501,4581,1435,0
0,1501,4581,1435,0
0,1501,4581,1435,0
0,1517,4576,1439,0
0,1517,4576,1439,0
0,1496,4578,1437,0
0,1496,4578,1437,0
0,1496,4578,1437,0
0,1507,4584,1436,0
0,1507,4584,1436,0
0,1507,4584,1436,0
0,1498,4582,1434,0
0,1498,4582,1434,0
0,1498,4582,1434,0
0,1514,4578,1436,0
0,1514,4578,1436,0
0,1514,4578,1436,0
0,1497,4579,1437,0
0,1497,4579,1437,0
0,1498,4577,1437,0
0,1510,4579,1440,0
0,1510,4579,1440,0
0,1510,4579,1440,0
0,1514,4576,1435,0
0,1514,4576,1435,0
0,1514,4576,1435,0
0,1501,4578,1438,0
0,1501,4578,1438,0
0,1515,4579,1436,0
0,1515,4579,1436,0
0,1515,4579,1436,0
0,1510,4576,1440,0
0,1510,4576,1440,0
0,1510,4576,1440,0
0,1510,4578,1438,0
0,1510,4578,1438,0
0,1498,4581,1437,0
0,1498,4581,1437,0
0,1498,4581,1437,0
0,1497,4579,1437,0
0,1497,4579,1437,0
0,1497,4579,1437,0
0,1495,4579,1433,0
0,1495,4579,1433,0
0,1495,4579,1433,0
0,1506,4580,1431,0
0,1506,4580,1431,0
0,1506,4580,1431,0
0,1497,4582,1434,0
0,1497,4582,1434,0
